car_name,car_price_in_rupees,kms_driven,fuel_type,city,year_of_manufacture,price_numeric,kms_numeric
Hyundai Elite i20 Asta 1.2,₹ 5.49 Lakh,"61,900 km",Petrol,Gurgaon,2015,549000,61900
Hyundai Creta SX Plus 1.6 AT CRDI,₹ 10.93 Lakh,"37,630 km",Diesel,Kolkata,2018,1093000,37630
Hyundai Verna SX 1.5 VTVT,₹ 11.79 Lakh,"63,994 km",Petrol,Bangalore,2020,1179000,63994
Maruti Suzuki S-Cross Alpha 1.3,₹ 8.75 Lakh,"58,000 km",Diesel,Thane,2018,875000,58000
Honda City VX,₹ 9.5 Lakh,"25,000 km",Petrol,Pallikarnai,2017,950000,25000
Honda City V Petrol [2017-2019],₹ 7.45 Lakh,"33,246 km",Petrol,Mumbai,2017,745000,33246
Ford EcoSport Titanium 1.5L TDCi,₹ 8.25 Lakh,"42,071 km",Diesel,Bangalore,2016,825000,42071
Jaguar XE Prestige Diesel,₹ 32.99 Lakh,"29,999 km",Diesel,Bangalore,2017,3299000,29999
Renault Kwid RXT [2015-2019],₹ 3.15 Lakh,"15,507 km",Petrol,Thane,2017,315000,15507
Maruti Suzuki Dzire ZDi AMT,₹ 7.64 Lakh,"15,805 km",Diesel,Bangalore,2018,764000,15805
Maruti Suzuki Celerio VXi AMT,₹ 3.85 Lakh,"63,931 km",Petrol,Noida,2014,385000,63931
Maruti Suzuki Wagon R 1.0 VXI ABS,₹ 5.5 Lakh,"31,295 km",Petrol,Hyderabad,2019,550000,31295
Hyundai Creta SX Plus 1.6 AT CRDI,₹ 10.25 Lakh,"1,30,000 km",Diesel,Ahmedabad,2017,1025000,130000
Maruti Suzuki S-Cross Zeta AT,₹ 11.56 Lakh,"9,400 km",Petrol,Ahmedabad,2021,1156000,9400
Hyundai Creta SX Plus 1.6  Petrol,₹ 8.55 Lakh,"39,000 km",Petrol,Thane,2015,855000,39000
Maruti Suzuki Baleno Delta 1.2,₹ 5.82 Lakh,"24,749 km",Petrol,Kolkata,2018,582000,24749
Maruti Suzuki Vitara Brezza ZXi Plus AT SHVS,₹ 12.75 Lakh,"21,986 km",Petrol,Bangalore,2020,1275000,21986
BMW 5 Series GT 535d,₹ 15 Lakh,"81,000 km",Diesel,Ahmedabad,2012,1500000,81000
Volkswagen Vento Highline 1.0L TSI,₹ 12 Lakh,"37,230 km",Petrol,Hyderabad,2021,1200000,37230
Hyundai Verna EX 1.6 VTVT [2017-2018],₹ 5.25 Lakh,"35,856 km",Petrol,Delhi,2014,525000,35856
Skoda Yeti Ambiente,₹ 6 Lakh,"1,37,849 km",Diesel,Hyderabad,2011,600000,137849
Renault Kwid 1.0 RXT Opt,₹ 4.52 Lakh,"19,927 km",Petrol,Bangalore,2019,452000,19927
Nissan Sunny XL,₹ 2.49 Lakh,"56,000 km",Petrol,Kolkata,2012,249000,56000
BMW 5 Series 520d M Sport,₹ 33 Lakh,"41,296 km",Diesel,Mumbai,2017,3300000,41296
Honda Amaze 1.2 SX i-VTEC,₹ 4.45 Lakh,"63,882 km",Petrol,Mumbai,2016,445000,63882
Honda Brio V MT,₹ 3.51 Lakh,"39,276 km",Petrol,Mumbai,2014,351000,39276
Hyundai Creta S 1.5 Petrol [2020-2022],₹ 13.25 Lakh,"16,000 km",Petrol,Thane,2021,1325000,16000
Maruti Suzuki Baleno Zeta 1.2,₹ 4.83 Lakh,"57,052 km",Petrol,Kolkata,2016,483000,57052
Maruti Suzuki Vitara Brezza ZDi Plus,₹ 10.22 Lakh,"50,802 km",Diesel,Pune,2019,1022000,50802
Hyundai i20 Magna 1.2,₹ 3.75 Lakh,"45,195 km",Petrol,Mumbai,2014,375000,45195
Maruti Suzuki Wagon R 1.0 LXI CNG,₹ 4.2 Lakh,"86,955 km",CNG,Pune,2018,420000,86955
Kia Sonet GTX Plus 1.0 iMT [2020-2021],₹ 11.04 Lakh,"20,879 km",Petrol,Kolkata,2020,1104000,20879
Hyundai Elite i20 Sportz 1.2 (O),₹ 5.95 Lakh,"5,000 km",Petrol,Thane,2016,595000,5000
Maruti Suzuki Wagon R 1.0 VXI,₹ 2.99 Lakh,"44,480 km",Petrol,Kolkata,2014,299000,44480
Hyundai Santro Sportz CNG [2018-2020],₹ 5.29 Lakh,"39,717 km",CNG,Pune,2018,529000,39717
Mahindra TUV300 T8,₹ 6.23 Lakh,"32,549 km",Diesel,Kolkata,2017,623000,32549
Skoda Laura Ambition 2.0 TDI CR AT,₹ 4.25 Lakh,"1,40,037 km",Diesel,Mumbai,2013,425000,140037
Mahindra Thar LX Hard Top Petrol AT,₹ 15.75 Lakh,"10,900 km",Petrol,Ahmedabad,2020,1575000,10900
Audi Q3 35 TDI quattro Technology,₹ 14.9 Lakh,"90,000 km",Diesel,Ahmedabad,2015,1490000,90000
Maruti Suzuki XL6 Alpha MT Petrol,₹ 9.9 Lakh,"38,598 km",Petrol,Thane,2020,990000,38598
Toyota Innova Crysta GX 2.4 7 STR,₹ 21.5 Lakh,"12,039 km",Diesel,Ahmedabad,2020,2150000,12039
Tata Tigor EV XZ Plus,₹ 11.35 Lakh,"17,294 km",Electric,Thane,2021,1135000,17294
Skoda Superb Elegance 1.8 TSI AT,₹ 8 Lakh,"1,35,000 km",Petrol + 1,Thiruvallur,2010,800000,135000
Maruti Suzuki Swift VXi [2014-2017],₹ 6.95 Lakh,"46,027 km",Petrol,Hyderabad,2019,695000,46027
Renault Duster RXL Petrol,₹ 4.8 Lakh,"46,525 km",Petrol,Pune,2014,480000,46525
Tata Harrier XZ [2019-2020],₹ 15.51 Lakh,"24,500 km",Diesel,Ahmedabad,2019,1551000,24500
Honda City VX CVT,₹ 7.75 Lakh,"48,793 km",Petrol,Thane,2016,775000,48793
Hyundai i10 Sportz 1.2 Kappa2,₹ 3.25 Lakh,"85,500 km",Petrol,Thane,2014,325000,85500
Maruti Suzuki Swift VXi ABS,₹ 6.89 Lakh,"34,088 km",Petrol,Bangalore,2017,689000,34088
Maruti Suzuki Baleno Delta 1.2,₹ 7.19 Lakh,"19,921 km",Petrol,Pune,2019,719000,19921
Honda Brio V MT,₹ 2.39 Lakh,"75,000 km",Petrol,Ahmedabad,2012,239000,75000
Maruti Suzuki Alto K10 VXi,₹ 2.6 Lakh,"99,203 km",Petrol,Hyderabad,2012,260000,99203
Jeep Compass Limited 2.0 Diesel [2017-2020],₹ 13.5 Lakh,"57,000 km",Diesel,Ahmedabad,2019,1350000,57000
Hyundai Grand i10 Magna 1.0 Kappa VTVT LPG [2014-2016],₹ 4.75 Lakh,"34,810 km",LPG,Bangalore,2015,475000,34810
Maruti Suzuki Ciaz Alpha Hybrid 1.5 [2018-2020],₹ 8.45 Lakh,"35,829 km",Petrol,Mumbai,2018,845000,35829
Audi A4 2.0 TDI (143bhp),₹ 13.5 Lakh,"89,332 km",Diesel,Ahmedabad,2013,1350000,89332
Audi Q7 45 TDI Technology Pack,₹ 54 Lakh,"22,000 km",Diesel,Kolkata,2019,5400000,22000
